ID,__name__,released,starring,originating from,directed by,produced by,distributed by,edited by,screenwriter,music by
10,GoldenEye,1995,Judi Dench,United States of America,Martin Campbell,Barbara Broccoli,Metro-Goldwyn-Mayer,Terry Rawlings,Bruce Feirstein,Éric Serra
100,City Hall,1996,Al Pacino,United States of America,Harold Becker,Harold Becker,Columbia Pictures,David Bretherton,Paul Schrader,Jerry Goldsmith
100017,Keep the Lights On,2012,Julianne Nicholson,United States of America,Ira Sachs,Ira Sachs,Music Box Films,Affonso Gonçalves,Ira Sachs,Arthur Russell
100048,Omar Killed Me,2011,Maurice Bénichou,France,Roschdy Zem,Rachid Bouchareb,Netflix,Monica Coleman,Roschdy Zem,Alexandre Azaria
100062,My Way,2011,Joe Odagiri,South Korea,Kang Je-gyu,Kang Je-gyu,Netflix,Park Gok-ji,Kang Je-gyu,Lee Dong-jun
100091,Hitler's Madman,1943,Peter van Eyck,United States of America,Douglas Sirk,Seymour Nebenzal,Loews Cineplex Entertainment,Dan Milner,Edgar G. Ulmer,Karl Hajos
100108,Parker,2013,Jennifer Lopez,United States of America,Taylor Hackford,Taylor Hackford,FilmDistrict,Mark Warner,John J. McLaughlin,David Buckley
100138,A Simple Life,2011,Andy Lau,Hong Kong,Ann Hui,Ann Hui,Netflix,Kwong Chi-Leung,Susan Chan,Law Wing-fai
100159,Sightseers,2012,John Hurt,United Kingdom,Ben Wheatley,Edgar Wright,Hulu,Ben Wheatley,Alice Lowe,Jim Williams
100163,Hansel & Gretel: Witch Hunters,2013,Jeremy Renner,United States of America,Tommy Wirkola,Will Ferrell,Universal Pictures,Jim Page,Tommy Wirkola,Atli Örvarsson
100171,"Angélique, Marquise des Anges",1964,Jean Rochefort,Spain,Bernard Borderie,Raymond Borderie,Netflix,Christian Gaudin,Anne Golon,Michel Magne
100229,The Psychopath,1966,Peter Diamond,United Kingdom,Freddie Francis,Max Rosenberg,Paramount Pictures,Oswald Hafenrichter,Robert Bloch,Elisabeth Lutyens
100232,"Not with My Wife, You Don't!",1966,Virna Lisi,United States of America,Norman Panama,Norman Panama,Warner Bros.,Aaron Stell,Peter Barnes,John Williams
100244,The East,2013,Elliot Page,United States of America,Zal Batmanglij,Ridley Scott,Searchlight Pictures,Andrew Weisblum,Brit Marling,Halli Cauthery
100255,Confessions of a Driving Instructor,1976,Tony Booth,United Kingdom,Norman Cohen,Michael Klinger,Columbia Pictures,Geoffrey Foot,Christopher Wood,Ed Welch
100257,Confessions from a Holiday Camp,1977,Robin Askwith,United Kingdom,Norman Cohen,Michael Klinger,Columbia Pictures,Geoffrey Foot,Christopher Wood,Ed Welch
100383,Side Effects,2013,Catherine Zeta-Jones,United States of America,Steven Soderbergh,Lorenzo di Bonaventura,Global Road Entertainment,Steven Soderbergh,Scott Z. Burns,Thomas Newman
100387,Kadal,2013,Gautham Karthik,India,Mani Ratnam,Mani Ratnam,Gemini Film Circuit,A. Sreekar Prasad,Mani Ratnam,A. R. Rahman
100390,Identity Thief,2013,Carlos Navarro,United States of America,Seth Gordon,Scott Stuber,Netflix,Peter Teschner,Craig Mazin,Christopher Lennertz
100397,The ABCs of Death,2012,Ingrid Bolsø Berdal,United States of America,Angela Bettis,Simon Boswell,Netflix,Takanori Tsujimoto,Noboru Iguchi,Simon Boswell
1004,The Glimmer Man,1996,Brian Cox,United States of America,John Gray,Steven Seagal,Warner Bros.,Donn Cambern,Kevin Brodbin,Trevor Rabin
100440,Lore,2012,Ursina Lardi,United Kingdom,Cate Shortland,Liz Watts,Netflix,Veronika Jenet,Cate Shortland,Max Richter
100498,A Good Day to Die Hard,2013,Bruce Willis,United States of America,John Moore,Alex Yang,InterCom,Dan Zimmerman,Skip Woods,Marco Beltrami
1005,D3: The Mighty Ducks,1996,Steven Brill,United States of America,Robert Lieberman,Jon Avnet,Walt Disney Studios Motion Pictures,Patrick Lussier,Steven Brill,J. A. C. Redford
100507,21 & Over,2013,Justin Chon,United States of America,Scott Moore,Ryan Kavanaugh,Netflix,John Refoua,Jon Lucas,Lyle Workman
100515,War Witch,2012,Rachel Mwanza,Canada,Kim Nguyen,Pierre Even,Netflix,Richard Comeau,Kim Nguyen,Gabriel Yared
100527,Safe Haven,2013,Josh Duhamel,United States of America,Lasse Hallström,Ryan Kavanaugh,Netflix,Andrew Mondshein,Leslie Bohem,Deborah Lurie
100591,The Mind Reader,1933,Warren William,United States of America,Roy Del Ruth,Hal B. Wallis,Warner Bros.,James Gibbon,Robert Lord,Bernhard Kaun
1006,The Chamber,1996,Faye Dunaway,United States of America,James Foley,Brian Grazer,Universal Pictures,Mark Warner,John Grisham,Carter Burwell
100714,Before Midnight,2013,Ethan Hawke,United States of America,Richard Linklater,Christos V. Konstantakopoulos,ADS Service,Sandra Adair,Ethan Hawke,Graham Reynolds
1008,"Davy Crockett, King of the Wild Frontier",1955,Basil Ruysdael,United States of America,Norman Foster,Walt Disney,Netflix,Chester Schaeffer,Tom W. Blackburn,George Bruns
1009,Escape to Witch Mountain,1975,Reta Shaw,United States of America,John Hough,Ron W. Miller,Disney+,Robert Stafford,Robert Milton Young,Johnny Mandel
100906,Maniac Cop 2,1990,Danny Trejo,United States of America,William Lustig,Larry Cohen,Artisan Entertainment,David J. Kern,Larry Cohen,Jay Chattaway
1010,The Love Bug,1969,Chick Hearn,United States of America,Robert Stevenson,Bill Walsh,Netflix,Cotton Warburton,Don DaGradi,George Bruns
101025,Jack the Giant Slayer,2013,Stanley Tucci,United States of America,Bryan Singer,David Dobkin,Warner Bros.,Bob Ducsay,Christopher McQuarrie,John Ottman
101060,The Last Exorcism Part II,2013,Louis Herthum,United States of America,Ed Gass-Donnelly,Eli Roth,CBS Films,Ed Gass-Donnelly,Damien Chazelle,Michael Wandmacher
101064,Verboten!,1959,Paul Busch,United States of America,Samuel Fuller,Samuel Fuller,Columbia Pictures,Philip Cahn,Samuel Fuller,Harry Sukman
101068,The Solitude of Prime Numbers,2010,Isabella Rossellini,Italy,Saverio Costanzo,Fausto Brizzi,Netflix,Francesca Calvelli,Paolo Giordano,Mike Patton
101076,G.I. Joe: Retaliation,2013,RZA,United States of America,Jon M. Chu,Lorenzo di Bonaventura,Netflix,Roger Barton,Paul Wernick,Henry Jackman
101088,Stoker,2013,Nicole Kidman,United States of America,Park Chan-wook,Tony Scott,Netflix,Nicolas De Toth,Wentworth Miller,Clint Mansell
1011,Herbie Rides Again,1974,Helen Hayes,United States of America,Robert Stevenson,Bill Walsh,Disney+,Cotton Warburton,Bill Walsh,George Bruns
101112,Oz the Great and Powerful,2013,Rachel Weisz,United States of America,Sam Raimi,Joe Roth,Netflix,Bob Murawski,David Lindsay-Abaire,Danny Elfman
1012,Old Yeller,1957,Kevin Corcoran,United States of America,Robert Stevenson,Walt Disney,Walt Disney Studios Motion Pictures,Stanley Johnson,Fred Gipson,Oliver Wallace
101204,The Hucksters,1947,Douglas Fowley,United States of America,Jack Conway,Arthur Hornblow,Metro-Goldwyn-Mayer,Frank Sullivan,George Wells,Lennie Hayton
101207,Emperor,2012,Tommy Lee Jones,Japan,Peter Webber,Yōko Narahashi,ADS Service,Chris Plummer,David Klass,Alex Heffes
101214,Genghis Khan,1965,Eli Wallach,United States of America,Henry Levin,Irving Allen,Columbia Pictures,Geoffrey Foot,Beverley Cross,Dušan Radić
101233,The Glass Menagerie,1950,Jane Wyman,United States of America,Irving Rapper,Warner Bros.,Warner Bros.,David Weisbart,Tennessee Williams,Max Steiner
101235,The Great Gatsby,1949,Macdonald Carey,United States of America,Elliott Nugent,Richard Maibaum,Paramount Pictures,Ellsworth Hoagland,Richard Maibaum,Robert E. Dolan
