ID	__name__	released	starring	originating from	directed by	produced by	distributed by	edited by	screenwriter	music by	probes_0	probes_1
10	GoldenEye	1995	Judi Dench	United States of America	Martin Campbell	Barbara Broccoli	Metro-Goldwyn-Mayer	Terry Rawlings	Bruce Feirstein	Éric Serra	GoldenEye is a movie, of the genre <mask>.	GoldenEye is a movie, released 1995, of the genre <mask>.
100	City Hall	1996	Al Pacino	United States of America	Harold Becker	Harold Becker	Columbia Pictures	David Bretherton	Paul Schrader	Jerry Goldsmith	City Hall is a movie, of the genre <mask>.	City Hall is a movie, released 1996, of the genre <mask>.
100017	Keep the Lights On	2012	Julianne Nicholson	United States of America	Ira Sachs	Ira Sachs	Music Box Films	Affonso Gonçalves	Ira Sachs	Arthur Russell	Keep the Lights On is a movie, of the genre <mask>.	Keep the Lights On is a movie, released 2012, of the genre <mask>.
100048	Omar Killed Me	2011	Maurice Bénichou	France	Roschdy Zem	Rachid Bouchareb	Netflix	Monica Coleman	Roschdy Zem	Alexandre Azaria	Omar Killed Me is a movie, of the genre <mask>.	Omar Killed Me is a movie, released 2011, of the genre <mask>.
100062	My Way	2011	Joe Odagiri	South Korea	Kang Je-gyu	Kang Je-gyu	Netflix	Park Gok-ji	Kang Je-gyu	Lee Dong-jun	My Way is a movie, of the genre <mask>.	My Way is a movie, released 2011, of the genre <mask>.
100091	Hitler's Madman	1943	Peter van Eyck	United States of America	Douglas Sirk	Seymour Nebenzal	Loews Cineplex Entertainment	Dan Milner	Edgar G. Ulmer	Karl Hajos	Hitler's Madman is a movie, of the genre <mask>.	Hitler's Madman is a movie, released 1943, of the genre <mask>.
100108	Parker	2013	Jennifer Lopez	United States of America	Taylor Hackford	Taylor Hackford	FilmDistrict	Mark Warner	John J. McLaughlin	David Buckley	Parker is a movie, of the genre <mask>.	Parker is a movie, released 2013, of the genre <mask>.
100138	A Simple Life	2011	Andy Lau	Hong Kong	Ann Hui	Ann Hui	Netflix	Kwong Chi-Leung	Susan Chan	Law Wing-fai	A Simple Life is a movie, of the genre <mask>.	A Simple Life is a movie, released 2011, of the genre <mask>.
100159	Sightseers	2012	John Hurt	United Kingdom	Ben Wheatley	Edgar Wright	Hulu	Ben Wheatley	Alice Lowe	Jim Williams	Sightseers is a movie, of the genre <mask>.	Sightseers is a movie, released 2012, of the genre <mask>.
100163	Hansel & Gretel: Witch Hunters	2013	Jeremy Renner	United States of America	Tommy Wirkola	Will Ferrell	Universal Pictures	Jim Page	Tommy Wirkola	Atli Örvarsson	Hansel & Gretel: Witch Hunters is a movie, of the genre <mask>.	Hansel & Gretel: Witch Hunters is a movie, released 2013, of the genre <mask>.
