ID	__name__	probes_0	prediction_1	prediction_2	prediction_3	prediction_4	prediction_5	labels	R@1	R@5
10	GoldenEye	GoldenEye is a movie, of the genre [MASK].	comedy	thriller	genre	cinema	horror	Action|Adventure|Thriller	0.0	0.3333333333333333
100	City Hall	City Hall is a movie, of the genre [MASK].	drama	comedy	thriller	noir	cop	Drama|Thriller	0.5	1.0
100017	Keep the Lights On	Keep the Lights On is a movie, of the genre [MASK].	comedy	horror	thriller	drama	batman	Drama	0.0	1.0
100048	Omar Killed Me	Omar Killed Me is a movie, of the genre [MASK].	comedy	thriller	horror	drama	batman	Crime|Drama	0.0	0.5
100062	My Way	My Way is a movie, of the genre [MASK].	itself	unknown	genre	here	now	Action|Drama|War	0.0	0.0
100091	Hitler's Madman	Hitler's Madman is a movie, of the genre [MASK].	comedy	horror	nazis	cinema	holocaust	Drama|War	0.0	0.0
100108	Parker	Parker is a movie, of the genre [MASK].	thriller	comedy	genre	drama	film	Crime|Thriller	0.5	0.5
100138	A Simple Life	A Simple Life is a movie, of the genre [MASK].	comedy	drama	thriller	family	romance	Drama	0.0	1.0
100159	Sightseers	Sightseers is a movie, of the genre [MASK].	adventure	tourism	fishing	hunting	surfing	Comedy	0.0	0.0
100163	Hansel & Gretel: Witch Hunters	Hansel & Gretel: Witch Hunters is a movie, of the genre [MASK].	witch	horror	grimm	witches	supernatural	Action|Fantasy|Horror|IMAX	0.0	0.25
100171	Angélique, Marquise des Anges	Angélique, Marquise des Anges is a movie, of the genre [MASK].	drama	comedy	noir	romance	comedies	Adventure|Romance	0.0	0.5
100229	The Psychopath	The Psychopath is a movie, of the genre [MASK].	psycho	thriller	noir	horror	schizophrenia	Horror|Mystery	0.0	0.5
100232	Not with My Wife, You Don't!	Not with My Wife, You Don't! is a movie, of the genre [MASK].	itself	comedy	too	genre	now	Comedy|Drama	0.0	0.5
100244	The East	The East is a movie, of the genre [MASK].	cinema	noir	drama	film	comedy	Drama	0.0	1.0
100255	Confessions of a Driving Instructor	Confessions of a Driving Instructor is a movie, of the genre [MASK].	driving	thriller	cop	csi	comedy	Comedy	0.0	1.0
100257	Confessions from a Holiday Camp	Confessions from a Holiday Camp is a movie, of the genre [MASK].	thriller	horror	comedy	christmas	camp	Comedy	0.0	1.0
100383	Side Effects	Side Effects is a movie, of the genre [MASK].	horror	film	genre	comedy	thriller	Crime|Drama|Mystery|Thriller	0.0	0.25
100387	Kadal	Kadal is a movie, of the genre [MASK].	cinema	drama	film	bollywood	comedy	Drama|Romance	0.0	0.5
100390	Identity Thief	Identity Thief is a movie, of the genre [MASK].	thriller	thief	batman	noir	crime	Comedy|Crime	0.0	0.5
