mlId,movieLabel,year,cast member,country of origin,director,producer,distributed by,film editor,screenwriter,composer
10,GoldenEye,1995.0,"Judi Dench, Desmond Llewelyn, Gottfried John, Pierce Brosnan, Sean Bean, Famke Janssen, Minnie Driver, Izabella Scorupco, Samantha Bond, Martin Campbell, Robbie Coltrane, Alan Cumming, Michael G. Wilson, Tchéky Karyo, Michael Kitchen, Joe Don Baker, Simon Crane, Serena Gordon, Ravil Isyanov","United States of America, United Kingdom",Martin Campbell,"Barbara Broccoli, Michael G. Wilson","Metro-Goldwyn-Mayer, Netflix",Terry Rawlings,"Bruce Feirstein, Jeffrey Caine, Michael France, Kevin Wade",Éric Serra
100,City Hall,1996.0,"Al Pacino, John Cusack, Lauren Vélez, Lindsay Duncan, Roberta Peters, Martin Landau, Danny Aiello, Tamara Tunie, Richard Schiff, David Paymer, John Slattery, Nestor Serrano, Anthony Franciosa, Bridget Fonda, Richard Gant, John Finn, Fran Brill, Mel Winkler, Murphy Guyer",United States of America,Harold Becker,Harold Becker,"Columbia Pictures, Netflix",David Bretherton,"Paul Schrader, Nicholas Pileggi, Bo Goldman",Jerry Goldsmith
100017,Keep the Lights On,2012.0,"Julianne Nicholson, Paprika Steen, James Bidgood, Thure Lindhardt, Todd Verow, Souléymane Sy Savané, Zachary Booth, Maria Dizzia, Jodie Markell",United States of America,Ira Sachs,Ira Sachs,Music Box Films,Affonso Gonçalves,Ira Sachs,Arthur Russell
100048,Omar Killed Me,2011.0,"Maurice Bénichou, Sami Bouajila, Éric Naggar, Denis Podalydès, Ludovic Berthillot, Bunny Godillot, Catherine Salviat, Gabriel Le Doze, Jean Toscan, Pierre Laur, Shirley Bousquet, Salomé Stévenin, Nozha Khouadra, Pascal Elso, Omar Raddad",France,Roschdy Zem,Rachid Bouchareb,Netflix,Monica Coleman,Roschdy Zem,Alexandre Azaria
100062,My Way,2011.0,"Joe Odagiri, İsmail Deniz, Fan Bingbing, Chun Ho-jin, Kim Shi-hoo, Jang Dong-geon, Lee Yeon-hee, Shingo Tsurumi, Do Ji-han, Tarō Yamamoto, Oh Tae-kyung",South Korea,Kang Je-gyu,Kang Je-gyu,"Netflix, CJ Entertainment",Park Gok-ji,Kang Je-gyu,Lee Dong-jun
100091,Hitler's Madman,1943.0,"Peter van Eyck, Al Shean, Ludwig Stössel, Johanna Hofer, Wolfgang Zilzer, John Carradine, Ava Gardner, Blanche Yurka, Victor Kilian, Patricia Morison, Carey Wilson, Edgar Kennedy, Frances Rafferty, Alan Curtis, Ralph Morgan, Tully Marshall, Howard Freeman, Jimmy Conlin, Lester Dorr, Richard Talmadge, Elizabeth Russell, Frank Hagney, Emmett Lynn, George Lynn, Fred Aldrich, Richard Ryen, Gary Gray",United States of America,Douglas Sirk,Seymour Nebenzal,Loews Cineplex Entertainment,Dan Milner,"Edgar G. Ulmer, Bart Lytton",Karl Hajos
100108,Parker,2013.0,"Jennifer Lopez, Jason Statham, Wendell Pierce, Patti LuPone, Clifton Collins, Nick Nolte, Bobby Cannavale, Sala Baker, Daniel Bernhardt, Emma Booth, Michael Chiklis, Kirk Baltz, Carlos Carrasco, Charleigh Harmon Stelly",United States of America,Taylor Hackford,"Taylor Hackford, Leslie Alexander","FilmDistrict, Netflix, ProVideo",Mark Warner,John J. McLaughlin,David Buckley
100138,A Simple Life,2011.0,"Andy Lau, Paul Chun, Sammo Hung, Tsui Hark, Andrew Lau, Anthony Wong, Raymond Chow, Deanie Ip, Angelababy, Gordon Lam, Elena Kong, Eman Lam, Jason Chan Chi-san, Qin Hailu, Leung Tin, Wang Fuli, Lawrence Ah Mon",Hong Kong,Ann Hui,"Ann Hui, Nansun Shi",Netflix,Kwong Chi-Leung,"Susan Chan, Roger Yan-Lam Lee",Law Wing-fai
100159,Sightseers,2012.0,"John Hurt, Sara Stewart, Lucy Russell, Monica Dolan, Alice Lowe, Steve Oram, Tom Meeten",United Kingdom,Ben Wheatley,"Edgar Wright, Nira Park","Hulu, Cirko Film, StudioCanal UK",Ben Wheatley,"Alice Lowe, Steve Oram",Jim Williams
100163,Hansel & Gretel: Witch Hunters,2013.0,"Jeremy Renner, Rainer Bock, Famke Janssen, Thomas Mann, Gemma Arterton, Zoë Bell, Peter Stormare, Derek Mears, Pihla Viitala, Ingrid Bolsø Berdal, Bjørn Sundquist, Monique Ganderton, Joanna Kulig, Robin Atkin Downes","United States of America, Germany",Tommy Wirkola,"Will Ferrell, Adam McKay, Beau Flynn","Universal Pictures, Netflix, UIP-Dunafilm",Jim Page,Tommy Wirkola,Atli Örvarsson
100171,"Angélique, Marquise des Anges",1964.0,"Jean Rochefort, Michèle Mercier, Charles Régnier, Ernst Schröder, François Maistre, Jacques Hilling, Robert Hoffmann, Renate Ewert, Rosalba Neri, Madeleine LeBeau, Robert Hossein, Claude Giraud, Henri Cogan, Giuliano Gemma, Jacques Castelot, Serge Marquand, Claude Vernier, Jean-Pierre Castaldi, Philippe Lemaire, Jean Topart, Gaston Meunier, Geneviève Fontanel, Bernard Lajarrige, Bernard Woringer, Guido Alberti, Jacques Toja, Michel de Ré, Monique Mélinand, Noële Noblecourt, Georges Guéret, Geymond Vital, Jean Ozenne, Roberto, Albert Dagnant, Alexandre Rignault, André Rouyer, Denise Provence, Etchika Choureau, Patrick Lemaitre, Paula Dehelly, Philippe Avron, Pierre Hatet, Robert Porte, Yves Barsacq, Élisabeth Ercy","Spain, Italy, France, West Germany",Bernard Borderie,"Raymond Borderie, Francis Cosne",Netflix,Christian Gaudin,"Anne Golon, Bernard Borderie, Daniel Boulanger, Claude Brulé, Francis Cosne",Michel Magne
